amfi_code,date,nav,aum_cr
119551,2022-01-03,85.2212,33913.55
120503,2022-01-03,92.2544,37150.99
118632,2022-01-03,60.1611,23251.32
119092,2022-01-03,55.2741,21866.33
120841,2022-01-03,48.1074,19257.94
125497,2022-01-03,110.4932,44581.78
118989,2022-01-03,88.5813,35255.25
120594,2022-01-03,41.9845,16292.67
118825,2022-01-03,35.1594,14655.54
119775,2022-01-03,70.2471,27946.84
119551,2022-01-04,85.6493,33273.23
120503,2022-01-04,92.3145,37045.18
118632,2022-01-04,60.5608,23879.69
119092,2022-01-04,55.3774,22124.11
120841,2022-01-04,48.4268,18643.39
125497,2022-01-04,110.8603,43242.74
118989,2022-01-04,87.2854,34896.55
120594,2022-01-04,42.0168,17238.01
118825,2022-01-04,35.2905,13390.46
119775,2022-01-04,70.6452,27498.9
119551,2022-01-05,85.5271,33853.05
120503,2022-01-05,92.6628,37209.32
118632,2022-01-05,60.5895,24174.94
119092,2022-01-05,55.5435,22239.25
120841,2022-01-05,48.1679,18841.31
125497,2022-01-05,110.4711,44249.66
118989,2022-01-05,88.4736,36367.88
120594,2022-01-05,42.1065,16250.56
118825,2022-01-05,35.3666,14710.92
119775,2022-01-05,70.6413,28417.91
119551,2022-01-06,86.31,33952.99
120503,2022-01-06,92.1072,36533.96
118632,2022-01-06,60.7826,23278.16
119092,2022-01-06,55.4646,22126.62
120841,2022-01-06,48.3217,19561.82
125497,2022-01-06,111.2302,45160.7
118989,2022-01-06,89.0014,34895.3
120594,2022-01-06,42.2298,16384.21
118825,2022-01-06,35.4564,13716.58
119775,2022-01-06,70.555,28374.65
119551,2022-01-07,85.5357,33853.17
120503,2022-01-07,92.0656,36258.76
118632,2022-01-07,60.4248,24207.88
119092,2022-01-07,55.8738,21990.77
120841,2022-01-07,48.5389,19283.98
125497,2022-01-07,111.6877,44446.68
118989,2022-01-07,88.9933,34694.53
120594,2022-01-07,42.6063,16990.52
118825,2022-01-07,35.5619,13985.05
119775,2022-01-07,71.3779,27820.56
119551,2022-01-10,86.9333,34057.56
120503,2022-01-10,93.1222,36235.78
118632,2022-01-10,60.8415,24711.66
119092,2022-01-10,56.0374,22344.44
120841,2022-01-10,48.1392,19555.48
125497,2022-01-10,111.9315,43725.04
118989,2022-01-10,89.0246,35198.84
120594,2022-01-10,42.983,16272.45
118825,2022-01-10,35.4424,14680.89
119775,2022-01-10,70.8784,27817.87
119551,2022-01-11,86.4335,33379.36
120503,2022-01-11,93.6077,36195.19
118632,2022-01-11,61.2481,24001.59
119092,2022-01-11,56.5286,22140.42
120841,2022-01-11,49.1138,18548.37
125497,2022-01-11,111.7341,44161.57
118989,2022-01-11,90.2092,34359.54
120594,2022-01-11,42.8958,17095.68
118825,2022-01-11,35.8415,14356.19
119775,2022-01-11,71.1645,27739.18
119551,2022-01-12,85.9958,34097.71
120503,2022-01-12,93.5638,37810.13
118632,2022-01-12,60.8941,24160.2
119092,2022-01-12,55.5561,21802.27
120841,2022-01-12,48.9246,19611.98
125497,2022-01-12,112.7717,43977.93
118989,2022-01-12,89.0886,35428.93
120594,2022-01-12,42.8627,17045.83
118825,2022-01-12,35.5059,14566.69
119775,2022-01-12,71.2877,28349.91
119551,2022-01-13,87.2008,34304.64
120503,2022-01-13,93.9278,37876.4
118632,2022-01-13,61.2444,23852.02
119092,2022-01-13,56.1045,22741.38
120841,2022-01-13,48.9655,19459.69
125497,2022-01-13,112.8051,43743.57
118989,2022-01-13,88.9582,35349.71
120594,2022-01-13,42.8682,16495.99
118825,2022-01-13,35.8357,14303.78
119775,2022-01-13,71.0183,28259.11
119551,2022-01-14,86.7076,33258.49
120503,2022-01-14,94.1468,36777.39
118632,2022-01-14,61.0406,24261.47
119092,2022-01-14,56.2931,21711.23
120841,2022-01-14,49.1074,19707.53
125497,2022-01-14,111.9257,44190.45
118989,2022-01-14,89.8554,36333.01
120594,2022-01-14,42.4939,17147.64
118825,2022-01-14,35.6839,13949.9
119775,2022-01-14,72.1404,27995.71
119551,2022-01-17,88.1281,33778.93
120503,2022-01-17,94.5161,36554.58
118632,2022-01-17,61.3286,24031.24
119092,2022-01-17,56.3301,22101.25
120841,2022-01-17,48.7234,20201.23
125497,2022-01-17,112.7238,44871.45
118989,2022-01-17,89.8094,35346.27
120594,2022-01-17,43.7397,16365.14
118825,2022-01-17,35.6342,13726.75
119775,2022-01-17,71.9571,28346.67
119551,2022-01-18,87.8487,33871.49
120503,2022-01-18,93.7527,36582.49
118632,2022-01-18,61.9958,24232.83
119092,2022-01-18,55.9502,21982.47
